question,answer
How is Sweet Sangria prepared?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
Does a Sweet Sangria have alcohol in it?,Sweet Sangria is listed as: Alcoholic.
Is Sweet Sangria an alcoholic drink?,Sweet Sangria is listed as: Alcoholic.
Is Sweet Sangria non alcoholic?,Sweet Sangria is listed as: Alcoholic.
What type of drink is a Sweet Sangria?,Sweet Sangria is in the category: Punch / Party Drink.
Is Sweet Sangria a cocktail or a shot?,Sweet Sangria is in the category: Punch / Party Drink.
Which category does Sweet Sangria belong to?,Sweet Sangria is in the category: Punch / Party Drink.
What should I serve a Sweet Sangria in?,Sweet Sangria is served in a Pitcher.
What glass do I need for Sweet Sangria?,Sweet Sangria is served in a Pitcher.
What kind of glass is best for a Sweet Sangria?,Sweet Sangria is served in a Pitcher.
What goes into a Tom Collins?,"Tom Collins contains: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
What does a Tom Collins contain?,"Tom Collins contains: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
Can you tell me whats in a Tom Collins?,"Tom Collins contains: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
How do you prepare Tom Collins?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
How do I make a Tom Collins at home?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Can you walk me through making a Tom Collins?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Does a Tom Collins have alcohol in it?,Tom Collins is listed as: Alcoholic.
Is Tom Collins an alcoholic drink?,Tom Collins is listed as: Alcoholic.
Is Tom Collins non alcoholic?,Tom Collins is listed as: Alcoholic.
What type of drink is a Tom Collins?,Tom Collins is in the category: Ordinary Drink.
Is Tom Collins a cocktail or a shot?,Tom Collins is in the category: Ordinary Drink.
Which category does Tom Collins belong to?,Tom Collins is in the category: Ordinary Drink.
What should I serve a Tom Collins in?,Tom Collins is served in a Collins glass.
What glass do I need for Tom Collins?,Tom Collins is served in a Collins glass.
What kind of glass is best for a Tom Collins?,Tom Collins is served in a Collins glass.
What does a Tequila Sunrise contain?,"Tequila Sunrise contains: Tequila, Orange juice, Grenadine."
What goes into a Tequila Sunrise?,"Tequila Sunrise contains: Tequila, Orange juice, Grenadine."
Whats in Tequila Sunrise?,"Tequila Sunrise contains: Tequila, Orange juice, Grenadine."
How is Tequila Sunrise prepared?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
How do I make a Tequila Sunrise at home?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Whats the recipe for a Tequila Sunrise?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Does a Tequila Sunrise have alcohol in it?,Tequila Sunrise is listed as: Alcoholic.
Is Tequila Sunrise an alcoholic drink?,Tequila Sunrise is listed as: Alcoholic.
Is Tequila Sunrise non alcoholic?,Tequila Sunrise is listed as: Alcoholic.
What type of drink is a Tequila Sunrise?,Tequila Sunrise is in the category: Cocktail.
Is Tequila Sunrise a cocktail or a shot?,Tequila Sunrise is in the category: Cocktail.
Which category does Tequila Sunrise belong to?,Tequila Sunrise is in the category: Cocktail.
What should I serve a Tequila Sunrise in?,Tequila Sunrise is served in a Highball glass.
What glass do I need for Tequila Sunrise?,Tequila Sunrise is served in a Highball glass.
What kind of glass is best for a Tequila Sunrise?,Tequila Sunrise is served in a Highball glass.
What goes into a Vodka Martini?,"Vodka Martini contains: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
Whats in Vodka Martini?,"Vodka Martini contains: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
What does a Vodka Martini contain?,"Vodka Martini contains: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
Whats the recipe for a Vodka Martini?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
How is Vodka Martini prepared?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
How do I make a Vodka Martini at home?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
Does a Vodka Martini have alcohol in it?,Vodka Martini is listed as: Alcoholic.
Is Vodka Martini an alcoholic drink?,Vodka Martini is listed as: Alcoholic.
Is Vodka Martini non alcoholic?,Vodka Martini is listed as: Alcoholic.
What type of drink is a Vodka Martini?,Vodka Martini is in the category: Ordinary Drink.
Is Vodka Martini a cocktail or a shot?,Vodka Martini is in the category: Ordinary Drink.
Which category does Vodka Martini belong to?,Vodka Martini is in the category: Ordinary Drink.
What should I serve a Vodka Martini in?,Vodka Martini is served in a Cocktail glass.
What glass do I need for Vodka Martini?,Vodka Martini is served in a Cocktail glass.
What kind of glass is best for a Vodka Martini?,Vodka Martini is served in a Cocktail glass.
What goes into a Whiskey Sour?,"Whiskey Sour contains: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
Can you tell me whats in a Whiskey Sour?,"Whiskey Sour contains: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
What does a Whiskey Sour contain?,"Whiskey Sour contains: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
How is Whiskey Sour prepared?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
Whats the recipe for a Whiskey Sour?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
Can you walk me through making a Whiskey Sour?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
Does a Whiskey Sour have alcohol in it?,Whiskey Sour is listed as: Alcoholic.
Is Whiskey Sour an alcoholic drink?,Whiskey Sour is listed as: Alcoholic.
Is Whiskey Sour non alcoholic?,Whiskey Sour is listed as: Alcoholic.
What type of drink is a Whiskey Sour?,Whiskey Sour is in the category: Ordinary Drink.
Is Whiskey Sour a cocktail or a shot?,Whiskey Sour is in the category: Ordinary Drink.
Which category does Whiskey Sour belong to?,Whiskey Sour is in the category: Ordinary Drink.
What should I serve a Whiskey Sour in?,Whiskey Sour is served in a Old-fashioned glass.
What glass do I need for Whiskey Sour?,Whiskey Sour is served in a Old-fashioned glass.
What kind of glass is best for a Whiskey Sour?,Whiskey Sour is served in a Old-fashioned glass.
Can you tell me whats in a White Russian?,"White Russian contains: Vodka, Coffee liqueur, Light cream."
What does a White Russian contain?,"White Russian contains: Vodka, Coffee liqueur, Light cream."
Whats in White Russian?,"White Russian contains: Vodka, Coffee liqueur, Light cream."
Can you walk me through making a White Russian?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
How do you prepare White Russian?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
How do I make a White Russian at home?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
Does a White Russian have alcohol in it?,White Russian is listed as: Alcoholic.
Is White Russian an alcoholic drink?,White Russian is listed as: Alcoholic.
Is White Russian non alcoholic?,White Russian is listed as: Alcoholic.
What type of drink is a White Russian?,White Russian is in the category: Ordinary Drink.
Is White Russian a cocktail or a shot?,White Russian is in the category: Ordinary Drink.
Which category does White Russian belong to?,White Russian is in the category: Ordinary Drink.
What should I serve a White Russian in?,White Russian is served in a Old-fashioned glass.
What glass do I need for White Russian?,White Russian is served in a Old-fashioned glass.
What kind of glass is best for a White Russian?,White Russian is served in a Old-fashioned glass.
What does a Winter Paloma contain?,"Winter Paloma contains: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
Ingredients for Winter Paloma?,"Winter Paloma contains: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
Can you tell me whats in a Winter Paloma?,"Winter Paloma contains: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
How do I make a Winter Paloma at home?,Everyones favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with Timur Pepper which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
How is Winter Paloma prepared?,Everyones favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with Timur Pepper which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
How do you prepare Winter Paloma?,Everyones favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with Timur Pepper which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
Does a Winter Paloma have alcohol in it?,Winter Paloma is listed as: Alcoholic.
Is Winter Paloma an alcoholic drink?,Winter Paloma is listed as: Alcoholic.
Is Winter Paloma non alcoholic?,Winter Paloma is listed as: Alcoholic.
What type of drink is a Winter Paloma?,Winter Paloma is in the category: Cocktail.
Is Winter Paloma a cocktail or a shot?,Winter Paloma is in the category: Cocktail.
Which category does Winter Paloma belong to?,Winter Paloma is in the category: Cocktail.
What should I serve a Winter Paloma in?,Winter Paloma is served in a Highball glass.
What glass do I need for Winter Paloma?,Winter Paloma is served in a Highball glass.
What kind of glass is best for a Winter Paloma?,Winter Paloma is served in a Highball glass.
Ingredients for White Wine Sangria?,"White Wine Sangria contains: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
What goes into a White Wine Sangria?,"White Wine Sangria contains: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
Whats in White Wine Sangria?,"White Wine Sangria contains: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
How is White Wine Sangria prepared?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
Whats the recipe for a White Wine Sangria?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
How do you prepare White Wine Sangria?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
Does a White Wine Sangria have alcohol in it?,White Wine Sangria is listed as: Alcoholic.
Is White Wine Sangria an alcoholic drink?,White Wine Sangria is listed as: Alcoholic.
Is White Wine Sangria non alcoholic?,White Wine Sangria is listed as: Alcoholic.
What type of drink is a White Wine Sangria?,White Wine Sangria is in the category: Punch / Party Drink.
